x,DP,Finetuning,1st-Order,2nd-Order,Retraining,SISA
10,61.8238434163701,62.17645314353499,63.52787663107948,95.56227758007115,98.44750889679716,96.26779359430604
50,59.23161328588375,59.241992882562265,59.73413404507711,89.72049228944246,98.39857651245552,94.81613285883748
100,56.00252075919335,56.043742586002374,56.089709371293,83.64753855278767,98.31257413997626,91.6429418742586
10,65.72078884934756,67.03321470937128,68.36773428232503,97.14857651245552,98.46530249110322,96.26927639383156
50,59.23739620403321,59.251482799525505,59.743179122182674,89.78573546856464,98.39857651245552,94.81613285883748
100,56.007858837485166,56.04848754448399,56.09786476868328,83.91310794780547,98.31257413997626,91.6429418742586
10,65.68757413997626,66.43594306049822,68.00771055753263,97.45907473309609,98.46530249110322,96.29744958481614
50,59.231316725978644,59.23976868327402,59.73013048635825,89.65776986951366,98.39857651245552,94.81613285883748
100,56.00222419928825,56.04181494661922,56.088226571767485,83.57755041518386,98.31257413997626,91.6429418742586
10,65.74911032028469,66.65673190984579,68.48027876631079,96.66711150652432,98.45937129300118,96.23517200474495
50,59.229833926453146,59.23976868327402,59.73013048635825,89.65776986951366,98.39857651245552,94.81613285883748
100,55.999851720047445,56.04181494661922,56.088226571767485,83.57755041518386,98.31257413997626,91.6429418742586
10,75.77061091340451,75.95180901542112,75.8193950177936,98.35572360616844,98.48161328588375,96.37752075919333
50,59.234134045077106,59.24080664294187,59.730723606168446,89.69231909845789,98.39857651245552,94.81613285883748
100,56.00415183867141,56.04329774614472,56.08837485172003,83.60409252669038,98.31257413997626,91.6429418742586
10,65.7491103202847,66.65717674970344,68.48027876631079,96.71367141162514,98.45937129300118,96.23517200474495
50,59.2296856465006,59.24080664294187,59.730723606168446,89.69231909845789,98.39857651245552,94.81613285883748
100,55.99925860023725,56.04329774614472,56.08837485172003,83.60409252669038,98.31257413997626,91.6429418742586
10,65.74614472123369,66.65717674970344,68.48027876631079,96.71367141162514,98.45937129300118,96.23517200474495
50,59.228351126927635,59.24080664294187,59.730723606168446,89.69231909845789,98.39857651245552,94.81613285883748
100,55.99925860023725,56.04329774614472,56.08837485172003,83.60409252669038,98.31257413997626,91.6429418742586
10,65.7491103202847,66.65717674970344,68.48027876631079,96.71367141162514,98.45937129300118,96.23517200474495
50,59.22983392645313,59.24080664294187,59.730723606168446,89.69231909845789,98.39857651245552,94.81613285883748
100,56.000296559905095,56.04329774614472,56.08837485172003,83.60409252669038,98.31257413997626,91.6429418742586
10,65.75074139976276,66.65717674970344,68.48027876631079,96.71367141162514,98.45937129300118,96.23517200474495
50,59.22998220640569,59.24080664294187,59.730723606168446,89.69231909845789,98.39857651245552,94.81613285883748
100,56.001186239620395,56.04329774614472,56.08837485172003,83.60409252669038,98.31257413997626,91.6429418742586
